OrderID,CustomerID,OrderDate,Quantity,ItemPrice,TotalAmount,OrderMonth,CohortMonth
ORD-50000,CUST-1863,2025-09-29 08:41:00,5,57.9,289.5,2025-09,2025-02
ORD-50001,CUST-1523,2025-03-01 21:37:00,5,117.59,587.95,2025-03,2025-02
ORD-50002,CUST-1337,2025-12-20 04:33:00,2,53.82,107.64,2025-12,2025-01
ORD-50003,CUST-1838,2025-07-29 03:43:00,1,92.59,92.59,2025-07,2025-03
ORD-50004,CUST-1575,2025-09-08 02:49:00,3,79.97,239.91,2025-09,2025-02
ORD-50005,CUST-1599,2025-04-05 00:17:00,1,80.49,80.49,2025-04,2025-04
ORD-50006,CUST-1075,2025-05-15 12:03:00,4,148.59,594.36,2025-05,2025-01
ORD-50007,CUST-1393,2025-06-29 21:13:00,5,116.92,584.6,2025-06,2025-02
ORD-50009,CUST-1552,2025-08-29 08:33:00,2,89.66,179.32,2025-08,2025-01
ORD-50010,CUST-1644,2025-06-29 06:28:00,4,67.22,268.88,2025-06,2025-01
ORD-50011,CUST-1575,2025-05-03 14:54:00,5,43.04,215.2,2025-05,2025-02
ORD-50012,CUST-1936,2025-06-13 22:44:00,1,143.59,143.59,2025-06,2025-05
ORD-50013,CUST-1757,2025-05-08 21:13:00,2,89.11,178.22,2025-05,2025-01
ORD-50014,CUST-1316,2025-02-07 03:18:00,1,46.35,46.35,2025-02,2025-02
ORD-50015,CUST-1732,2025-08-14 17:47:00,3,138.08,414.24,2025-08,2025-05
ORD-50016,CUST-1704,2025-03-02 03:12:00,4,34.5,138.0,2025-03,2025-01
ORD-50018,CUST-1005,2025-11-24 10:08:00,2,129.01,258.02,2025-11,2025-03
ORD-50019,CUST-1908,2025-05-11 16:21:00,2,35.56,71.12,2025-05,2025-01
ORD-50021,CUST-1040,2025-06-19 11:11:00,4,114.87,459.48,2025-06,2025-02
ORD-50022,CUST-1049,2025-01-10 14:25:00,4,64.69,258.76,2025-01,2025-01
ORD-50023,CUST-1851,2025-11-09 03:18:00,4,134.74,538.96,2025-11,2025-02
ORD-50026,CUST-1136,2025-08-06 23:31:00,5,10.64,53.2,2025-08,2025-08
ORD-50027,CUST-1371,2025-01-15 11:48:00,5,44.51,222.55,2025-01,2025-01
ORD-50028,CUST-1925,2025-09-05 19:57:00,3,94.63,283.89,2025-09,2025-06
ORD-50029,CUST-1883,2025-05-21 00:31:00,5,51.3,256.5,2025-05,2025-01
ORD-50030,CUST-1059,2025-09-20 13:54:00,1,7.56,7.56,2025-09,2025-09
ORD-50031,CUST-1418,2025-10-27 12:07:00,2,123.54,247.08,2025-10,2025-01
ORD-50032,CUST-1556,2025-01-28 15:03:00,2,145.72,291.44,2025-01,2025-01
ORD-50033,CUST-1840,2025-11-23 19:43:00,1,56.57,56.57,2025-11,2025-03
ORD-50034,CUST-1249,2025-07-09 01:27:00,5,52.86,264.3,2025-07,2025-01
ORD-50036,CUST-1638,2025-03-31 05:30:00,5,86.49,432.45,2025-03,2025-02
ORD-50037,CUST-1906,2025-07-25 04:35:00,4,51.5,206.0,2025-07,2025-01
ORD-50038,CUST-1076,2025-11-14 19:09:00,1,108.61,108.61,2025-11,2025-02
ORD-50039,CUST-1735,2025-12-21 23:46:00,4,79.32,317.28,2025-12,2025-01
ORD-50040,CUST-1619,2025-06-21 17:38:00,3,83.65,250.95,2025-06,2025-01
ORD-50041,CUST-1343,2025-05-04 22:12:00,1,31.48,31.48,2025-05,2025-03
ORD-50042,CUST-1896,2025-10-16 23:40:00,3,55.94,167.82,2025-10,2025-04
ORD-50043,CUST-1105,2025-06-03 01:03:00,4,135.76,543.04,2025-06,2025-01
ORD-50044,CUST-1503,2025-06-26 21:54:00,1,78.55,78.55,2025-06,2025-04
ORD-50045,CUST-1457,2025-03-31 00:41:00,4,66.47,265.88,2025-03,2025-03
ORD-50047,CUST-1264,2025-06-13 13:54:00,1,97.02,97.02,2025-06,2025-01
ORD-50048,CUST-1574,2025-12-13 07:25:00,1,42.47,42.47,2025-12,2025-01
ORD-50049,CUST-1676,2025-01-26 15:32:00,4,61.92,247.68,2025-01,2025-01
ORD-50050,CUST-1979,2025-01-24 21:59:00,3,23.84,71.52,2025-01,2025-01
ORD-50051,CUST-1099,2025-07-28 08:47:00,2,146.2,292.4,2025-07,2025-07
ORD-50052,CUST-1284,2025-02-15 12:46:00,5,35.04,175.2,2025-02,2025-02
ORD-50053,CUST-1831,2025-12-06 19:19:00,5,66.79,333.95,2025-12,2025-08
ORD-50054,CUST-1519,2025-08-08 20:40:00,3,50.28,150.84,2025-08,2025-01
ORD-50055,CUST-1906,2025-10-05 19:00:00,2,117.1,234.2,2025-10,2025-01
ORD-50056,CUST-1436,2025-07-19 19:55:00,5,30.13,150.65,2025-07,2025-01
ORD-50057,CUST-1440,2025-10-18 07:15:00,5,81.04,405.2,2025-10,2025-02
ORD-50058,CUST-1615,2025-11-28 22:53:00,5,97.24,486.2,2025-11,2025-03
ORD-50059,CUST-1294,2025-02-13 05:44:00,5,127.8,639.0,2025-02,2025-01
ORD-50060,CUST-1750,2025-11-02 16:41:00,5,53.67,268.35,2025-11,2025-11
ORD-50061,CUST-1329,2025-06-12 01:29:00,3,31.77,95.31,2025-06,2025-01
ORD-50062,CUST-1436,2025-03-21 03:25:00,3,147.01,441.03,2025-03,2025-01
ORD-50063,CUST-1402,2025-10-22 10:46:00,3,38.53,115.59,2025-10,2025-01
ORD-50064,CUST-1503,2025-05-29 13:09:00,5,55.99,279.95,2025-05,2025-04
ORD-50065,CUST-1327,2025-01-13 08:07:00,1,77.52,77.52,2025-01,2025-01
ORD-50066,CUST-1615,2025-11-25 11:02:00,2,144.89,289.78,2025-11,2025-03
ORD-50067,CUST-1911,2025-07-12 11:43:00,1,114.0,114.0,2025-07,2025-01
ORD-50069,CUST-1512,2025-02-16 09:49:00,4,47.37,189.48,2025-02,2025-01
ORD-50070,CUST-1628,2025-10-18 22:20:00,3,89.99,269.97,2025-10,2025-01
ORD-50071,CUST-1362,2025-01-05 23:29:00,4,147.74,590.96,2025-01,2025-01
ORD-50072,CUST-1140,2025-04-12 12:26:00,2,102.28,204.56,2025-04,2025-01
ORD-50074,CUST-1760,2025-07-30 23:21:00,1,48.77,48.77,2025-07,2025-06
ORD-50075,CUST-1203,2025-03-02 09:14:00,3,117.07,351.21,2025-03,2025-03
ORD-50076,CUST-1463,2025-01-31 06:45:00,5,11.64,58.2,2025-01,2025-01
ORD-50077,CUST-1865,2025-01-19 03:33:00,3,35.3,105.9,2025-01,2025-01
ORD-50078,CUST-1989,2025-11-24 05:46:00,4,123.37,493.48,2025-11,2025-01
ORD-50079,CUST-1664,2025-08-23 07:44:00,5,46.86,234.3,2025-08,2025-01
ORD-50080,CUST-1676,2025-09-27 20:18:00,1,55.08,55.08,2025-09,2025-01
ORD-50081,CUST-1892,2025-10-11 23:58:00,4,98.49,393.96,2025-10,2025-04
ORD-50082,CUST-1703,2025-12-03 11:15:00,4,59.11,236.44,2025-12,2025-01
ORD-50083,CUST-1275,2025-07-11 19:00:00,1,10.78,10.78,2025-07,2025-01
ORD-50084,CUST-1498,2025-09-17 14:16:00,3,89.37,268.11,2025-09,2025-03
ORD-50085,CUST-1419,2025-06-05 18:09:00,4,54.14,216.56,2025-06,2025-01
ORD-50086,CUST-1542,2025-08-26 08:51:00,1,86.04,86.04,2025-08,2025-02
ORD-50087,CUST-1010,2025-10-03 16:09:00,5,110.35,551.75,2025-10,2025-01
ORD-50088,CUST-1499,2025-12-24 17:18:00,1,70.78,70.78,2025-12,2025-01
ORD-50089,CUST-1956,2025-01-10 09:41:00,4,140.9,563.6,2025-01,2025-01
ORD-50090,CUST-1615,2025-12-19 12:02:00,2,48.23,96.46,2025-12,2025-03
ORD-50091,CUST-1276,2025-10-27 09:14:00,5,137.06,685.3,2025-10,2025-02
ORD-50092,CUST-1923,2025-10-24 12:03:00,3,20.17,60.51,2025-10,2025-01
ORD-50093,CUST-1776,2025-05-17 22:54:00,3,40.3,120.9,2025-05,2025-02
ORD-50094,CUST-1854,2025-11-04 23:38:00,3,75.93,227.79,2025-11,2025-01
ORD-50095,CUST-1378,2025-09-23 00:24:00,1,137.85,137.85,2025-09,2025-02
ORD-50096,CUST-1794,2025-08-15 11:24:00,2,26.48,52.96,2025-08,2025-08
ORD-50097,CUST-1499,2025-05-03 09:53:00,4,79.08,316.32,2025-05,2025-01
ORD-50098,CUST-1855,2025-03-19 20:58:00,3,20.82,62.46,2025-03,2025-03
ORD-50100,CUST-1047,2025-09-08 16:24:00,4,101.32,405.28,2025-09,2025-01
ORD-50101,CUST-1950,2025-05-11 10:52:00,2,51.65,103.3,2025-05,2025-02
ORD-50102,CUST-1741,2025-12-05 17:28:00,2,68.87,137.74,2025-12,2025-07
ORD-50103,CUST-1214,2025-09-03 09:50:00,1,124.37,124.37,2025-09,2025-07
ORD-50104,CUST-1137,2025-03-12 14:45:00,3,110.32,330.96,2025-03,2025-03
ORD-50105,CUST-1685,2025-05-05 06:26:00,3,77.7,233.1,2025-05,2025-03
ORD-50106,CUST-1386,2025-10-21 12:05:00,2,140.79,281.58,2025-10,2025-02
ORD-50107,CUST-1402,2025-05-20 08:13:00,1,81.13,81.13,2025-05,2025-01
ORD-50108,CUST-1570,2025-05-04 15:03:00,4,41.37,165.48,2025-05,2025-03
ORD-50109,CUST-1239,2025-06-13 19:30:00,2,8.65,17.3,2025-06,2025-06
ORD-50110,CUST-1092,2025-11-16 09:32:00,2,133.29,266.58,2025-11,2025-08
ORD-50111,CUST-1907,2025-04-30 15:31:00,3,114.39,343.17,2025-04,2025-03
ORD-50113,CUST-1394,2025-10-10 12:00:00,4,59.46,237.84,2025-10,2025-01
ORD-50114,CUST-1625,2025-09-02 19:50:00,2,18.35,36.7,2025-09,2025-03
ORD-50115,CUST-1478,2025-11-24 22:37:00,4,5.29,21.16,2025-11,2025-03
ORD-50116,CUST-1419,2025-01-10 15:09:00,5,36.5,182.5,2025-01,2025-01
ORD-50117,CUST-1540,2025-10-10 02:33:00,2,141.17,282.34,2025-10,2025-07
ORD-50118,CUST-1003,2025-10-18 16:04:00,2,92.71,185.42,2025-10,2025-02
ORD-50119,CUST-1851,2025-06-16 04:14:00,2,48.25,96.5,2025-06,2025-02
ORD-50120,CUST-1340,2025-04-17 12:35:00,1,126.05,126.05,2025-04,2025-04
ORD-50122,CUST-1526,2025-12-08 16:41:00,1,109.34,109.34,2025-12,2025-01
ORD-50123,CUST-1250,2025-10-25 17:21:00,3,104.85,314.55,2025-10,2025-04
ORD-50124,CUST-1709,2025-11-22 22:22:00,2,26.43,52.86,2025-11,2025-01
ORD-50125,CUST-1505,2025-02-27 23:26:00,3,125.25,375.75,2025-02,2025-02
ORD-50126,CUST-1956,2025-07-23 16:57:00,2,29.2,58.4,2025-07,2025-01
ORD-50127,CUST-1197,2025-12-08 13:00:00,1,75.31,75.31,2025-12,2025-05
ORD-50128,CUST-1632,2025-04-09 13:38:00,4,86.19,344.76,2025-04,2025-03
ORD-50129,CUST-1947,2025-07-18 17:27:00,1,115.13,115.13,2025-07,2025-07
ORD-50130,CUST-1262,2025-05-27 06:44:00,4,52.47,209.88,2025-05,2025-03
ORD-50131,CUST-1984,2025-03-12 03:40:00,2,62.95,125.9,2025-03,2025-03
ORD-50132,CUST-1103,2025-09-07 10:22:00,4,27.85,111.4,2025-09,2025-03
ORD-50133,CUST-1229,2025-08-29 03:17:00,1,98.86,98.86,2025-08,2025-01
ORD-50134,CUST-1366,2025-11-12 07:10:00,4,8.23,32.92,2025-11,2025-01
ORD-50135,CUST-1071,2025-04-27 18:59:00,2,49.51,99.02,2025-04,2025-01
ORD-50136,CUST-1357,2025-01-25 13:17:00,4,96.94,387.76,2025-01,2025-01
ORD-50137,CUST-1964,2025-09-26 23:29:00,1,59.19,59.19,2025-09,2025-02
ORD-50138,CUST-1244,2025-05-11 21:15:00,4,8.57,34.28,2025-05,2025-05
ORD-50139,CUST-1919,2025-09-10 01:53:00,4,104.67,418.68,2025-09,2025-06
ORD-50140,CUST-1675,2025-12-16 18:03:00,1,82.83,82.83,2025-12,2025-01
ORD-50141,CUST-1207,2025-07-16 00:26:00,4,70.22,280.88,2025-07,2025-03
ORD-50142,CUST-1226,2025-11-26 19:57:00,4,21.12,84.48,2025-11,2025-05
ORD-50143,CUST-1451,2025-08-10 19:47:00,4,31.14,124.56,2025-08,2025-01
